Rowid,Codebase,File,Line,Function,Bigsleep,CodeRabbtit_Repair,CodeRabbtit_PoC,Q Developer
1,Sqlite,sqlite3.c,131066,concatFuncCore,Success,Success,Fail,Fail
2,Sqlite,sqlite3.c,182375,setupLookaside,Success,Success,Fail,Fail
3,Sqlite,sqlite3.c,182378,setupLookaside,Fail,Success,Fail,Fail
4,Sqlite,sqlite3.c,205143,fts3MatchinfoSize,Fail,Fail,Fail,Fail
5,Sqlite,sqlite3.c,202775, fts3IncrmergeWriter,Fail,Fail,Fail,Fail
6,Sqlite,shell.c,1308,local_getline,Fail,Success,Success,Success
7,Sqlite,shell.c,26694,get4byteInt,Fail,Success,Fail,Fail
8,Sqlite,shell.c,1432,integerValue,Fail,Fail,Fail,Success
9,Sqlite,shell.c,1422,integerValue,Success,Fail,Success,Success
10,Sqlite,shell.c,1428,integerValue,Fail,Success,Success,Success
11,Sqlite,shell.c,24223,exec_prepared_stmt_columnar,Fail,Fail,Success,Success
12,Sqlite,shell.c,1181,utf8_width_print,Fail,Success,Fail,Success
13,Sqlite,shell.c,6735,seriesFilter,Fail,Fail,Success,Success
14,Sqlite,shell.c,5341,base64,Success,Success,Success,Fail
15,Sqlite,shell.c,5342,base64,Fail,Fail,Fail,Success
16,Sqlite,shell.c,5342,base64,Fail,Fail,Success,Success
17,Sqlite,shell.c,23232,set_table_name,Fail,Success,Fail,Success
18,Sqlite,shell.c,1478,appendText,Fail,Success,Fail,Fail
19,Sqlite,shell.c,22034,output_hex_blob,Fail,Success,Fail,Fail
20,Sqlite,shell.c,25650,readHexDb,Success,Fail,Success,Success
21,Sqlite,shell.c,25671,readHexDb,Fail,Fail,Fail,Success
22,Sqlite,shell.c,25672,readHexDb,Success,Success,Success,Success
23,Sqlite,shell.c,7620,re_subcompile_string,Fail,Fail,Success,Success
24,Sqlite,shell.c,7625,re_subcompile_string,Fail,Fail,Success,Success
25,Sqlite,shell.c,25650,readHexDb,Fail,Fail,Success,Success
26,Sqlite,shell.c,26245,import_append_char,Fail,Fail,Fail,Fail
27,Sqlite,shell.c,6733,seriesFilter,Fail,Fail,Fail,Success
28,Sqlite,shell.c,6736,seriesFilter,Fail,Fail,Success,Success
29,Sqlite,shell.c,6749,seriesFilter,Success,Fail,Success,Success
30,Sqlite,shell.c,6749,seriesFilter,Success,Fail,Fail,Success
31,Sqlite,sqlite3.c,209755,jsonReturnFromBlob,Fail,Fail,Fail,Fail
32,Sqlite,sqlite3.c,255949,fts5LocaleFunc,Fail,Fail,Success,Success
33,Sqlite,shell.c,5722,base85,Fail,Fail,Success,Success
